x,y,vx,e,theta_e,mode
0.00010000000000026368,-1.942890293094024e-16,0.0956292511410045,-0.0,-1.9155949405457593,LOW
0.0001956292511412682,1.603807070695608e-05,0.09731443809135215,-7.556890827898176e-05,-2.2848870254070546,LOW
0.00029293070077851324,3.500657349281737e-05,0.09852290857706894,-0.000158338711645022,-2.284201080584364,LOW
0.000391431462714962,5.367727401326253e-05,0.10000881107724517,-0.0002442914066180358,-2.283697119421733,LOW
0.0004914060270153178,7.295084350144488e-05,0.10138312220603961,-0.00033095536900438235,-2.2831018816889563,LOW
0.0005927434700700202,9.245264974063921e-05,0.10278624905549989,-0.0004191279050449589,-2.2825302889206998,LOW
0.0006954715942887433,0.00011231865592061297,0.10416736972963958,-0.0005084798328995882,-2.281938702097561,LOW
0.0007995680873545343,0.00013250279077569365,0.10554391462029311,-0.000599121208990816,-2.281343128276901,LOW
0.0009050277807046153,0.00015302116010797417,0.10691033108790193,-0.0006910049986654764,-2.2807381000574245,LOW
0.0010118400513158597,0.00017386977716734962,0.10826840673051775,-0.0007841378442787412,-2.280125477375039,LOW
0.0011199960228681029,0.00019505083484220312,0.10961770676347221,-0.0008785091070836145,-2.2795047491146754,LOW
0.0012294863904165876,0.0002165647643388229,0.11095843162688979,-0.0009741135155314219,-2.2788761300706173,LOW
0.001340302040759387,0.00023841250606390773,0.11229060935163662,-0.001070944320387161,-2.278239624306971,LOW
0.001452433884473454,0.0002605948956269342,0.11361431125569012,-0.0011689952508046918,-2.27759529308791,LOW
0.0015658728980052436,0.0002831128195538455,0.11492959762563361,-0.0012682599852724139,-2.2769431824900783,LOW
0.0016806101129864717,0.000305967177278599,0.11623653060524244,-0.0013687322854023375,-2.2762833418486865,LOW
0.0017966366180416269,0.0003291588890496243,0.11753517132946018,-0.0014704059629632267,-2.2756158193365534,LOW
0.0019139435578235018,0.00035268889362297324,0.1188255805292804,-0.001573274886424694,-2.274940662963379,LOW
0.002032522132631541,0.00037655814809891056,0.12010781841936848,-0.0016773329787175373,-2.2742579203676954,LOW
0.002152363597921445,0.00040076762735061905,0.12138194472426353,-0.001782574216838306,-2.2735676388609485,LOW
0.0022734592638393642,0.0004253183235376626,0.12264801867952002,-0.0018889926311045585,-2.272869865422304,LOW
0.0023958004947566575,0.00045021124561526354,0.12390609903698814,-0.0019965823044842063,-2.2721646467024046,LOW
0.0025193787088092167,0.00047544741885414163,0.12515624406938733,-0.0021053373719225497,-2.271452029025594,LOW
0.0026441853774407053,0.000501027884368465,0.12639851157491952,-0.0022152520196796763,-2.2707320583923543,LOW
0.002770212024949776,0.0005269536986521111,0.12763295888181667,-0.002326320484676133,-2.2700047804816954,LOW
0.002897450228041234,0.0005532259331230622,0.12885964285283744,-0.002438537053847048,-2.2692702406535266,LOW
0.00302589161538112,0.000579845673675809,0.13007861988971176,-0.0025518960635045563,-2.268528483951009,LOW
0.0031555278671556897,0.0006068140202416364,0.1312899459375344,-0.00266639189870844,-2.2677795551028934,LOW
0.0032863507146342653,0.0006341320863566628,0.1324936764891081,-0.002782018992644871,-2.267023498525835,LOW
0.0034183519397359323,0.000661800998737511,0.13368986658923698,-0.002898771826013156,-2.2662603583266923,LOW
0.0035515233746000567,0.0006898218968644866,0.13487857083897087,-0.0030166449264203924,-2.26549017830481,LOW
0.0036858569011605966,0.000718195932572146,0.13605984339980118,-0.0031356328677839183,-2.2647130019542794,LOW
0.0038213444507241867,0.0007469242696471331,0.13723373799780914,-0.0032557302697414784,-2.263928872466185,LOW
0.003957978003551962,0.0007760080834331712,0.13840030792776675,-0.003376931797068998,-2.2631378327308322,LOW
0.004095749588445103,0.0008054485604430918,0.13955960605719142,-0.003499232159105868,-2.262339925339957,LOW
0.00423465128233407,0.0008352468979777913,0.14071168483035457,-0.00362262610918765,-2.2615351925889193,LOW
0.004374675209871508,0.0008654043037520009,0.14185659627224498,-0.0037471084440861137,-2.260723676478878,LOW
0.004515813543028783,0.0008959219955267638,0.1429943919924876,-0.0038726740034564964,-2.259905418718952,LOW
0.004658058500696141,0.0009268012007485088,0.14412512318921822,-0.003999317669291917,-2.2590804607283586,LOW
0.004801402348286446,0.0009580431561946169,0.1452488406529146,-0.004127034365384831,-2.2582488436385426,LOW
0.004945837397342484,0.0009896491076253745,0.14636559477018476,-0.004255819056795458,-2.257410608295282,LOW
0.0050913560051478,0.0010216203094422127,0.14747543552751288,-0.004385666749327072,-2.256565795260782,LOW
0.005237950574341038,0.001053958024352129,0.1485784125149634,-0.004516572489008089,-2.255714444815749,LOW
0.005385613552533772,0.0010866635230381949,0.14967457492984398,-0.00464853136158085,-2.254856596961452,LOW
0.005534337431931782,0.0011197380838360485,0.15076397158032764,-0.00478153849199702,-2.253992291421766,LOW
0.005684114748959763,0.0011531829924162776,0.1518466508890348,-0.004915589043919517,-2.253121567645198,LOW
0.005834938083889433,0.0011869995414725985,0.15292266089657566,-0.005050678219230896,-2.252244464806901,LOW
0.005986800060471022,0.0012211890304157354,0.15399204926505353,-0.00518680125754809,-2.251361021810668,LOW
0.006139693345568102,0.001255752765072909,0.15505486328152943,-0.005323953435743439,-2.250471277290915,LOW
0.006293610648795743,0.001290692057392847,0.15611114986144872,-0.005462130067471927,-2.249575269614643,LOW
0.0064485447221619635,0.00132600822515622,0.15716095555203,-0.0056013265027045405,-2.2486730368833925,LOW
0.006604488359712454,0.0013617025916914252,0.15820432653561695,-0.005741538127267671,-2.2477646169351733,LOW
0.006761434397178535,0.0013977764855956205,0.1592413086329936,-0.005882760362388495,-2.2468500473463875,LOW
