x,y,vx,e,theta_e,mode
0.0001,0.0,0.10028569481145423,0.0,-0.7851488958468678,LOW
0.00020028569481145422,7.565741778734284e-06,0.1018492278665169,-7.069305004452311e-05,-0.7851488958468678,LOW
0.0003021321507833645,1.614841855248875e-05,0.1032528419715897,-0.00013623694578646876,-0.7848253107038852,LOW
0.0004053802899572162,2.46926522786851e-05,0.10471594681269208,-0.00020216493034427128,-0.7845966471177075,LOW
0.0005100890544836169,3.346063733987755e-05,0.10614537427888737,-0.0002691109976241856,-0.7843257004333875,LOW
0.0006162248511145437,4.235325252979336e-05,0.1075732226350673,-0.00033693136999604455,-0.7840648488259557,LOW
0.0007237859238280254,5.140402276902772e-05,0.10898890582448574,-0.0004056724061141314,-0.7837955944159903,LOW
0.0008327600281702736,6.060280567665991e-05,0.11039584803399798,-0.0004753091529859386,-0.7835241899784723,LOW
0.0009431383076836577,6.995319339344098e-05,0.11179312652764785,-0.0005458401281674091,-0.7832486740488633,LOW
0.0010549109936330995,7.945471346190115e-05,0.1131810936898266,-0.0006172565300983665,-0.7829696654602745,LOW
0.0011680686649165146,8.910804703551805e-05,0.114559747493848,-0.0006895517871231784,-0.7826870161242436,LOW
0.0012826018983023513,9.891358350130049e-05,0.11592917783945746,-0.0007627187574091462,-0.7824007929541644,LOW
0.001398501359032448,0.00010887179776323723,0.11728945122374115,-0.0008367505039796543,-0.7821110057409663,LOW
0.0015157577777780132,0.0001189831570987025,0.11864063881966365,-0.0009116400919179175,-0.7818176782921666,LOW
0.0016343619552303022,0.00012924814237122003,0.11998281005848668,-0.0009873806379553434,-0.7815208309220234,LOW
0.0017543047603829545,0.00013966724311501657,0.12131603401452691,-0.0010639652987133928,-0.7812204845050958,LOW
0.001875577130173731,0.00015024095822694543,0.12264037913388683,-0.0011413872729659242,-0.7809166595987281,LOW
0.001998170068860235,0.0001609697955389117,0.12395591329212387,-0.0012196398008965414,-0.7806093766233773,LOW
0.002122074647452078,0.00017185427160549866,0.12526270379082183,-0.0012987161639596875,-0.7802986558305144,LOW
0.0022472820031396758,0.00018289491145943108,0.1265608173646362,-0.0013786096846294343,-0.7799845173103165,LOW
0.0023737833387299256,0.0001940922483774433,0.1278503201865863,-0.0014593137261686368,-0.7796669809923947,LOW
0.0025015699220870546,0.0002054468236496503,0.12913127787353396,-0.0015408216923955944,-0.779346066647626,LOW
0.0026306330855788303,0.00021695918635335456,0.13040375549156547,-0.0016231270274518887,-0.7790217938897973,LOW
0.0027609642255280393,0.00022862989313107623,0.1316678175613157,-0.0017062232155708769,-0.7786941821772541,LOW
0.002892554801669186,0.00024045950797274953,0.1329235280632309,-0.0017901037808469187,-0.7783632508145267,LOW
0.0030253963366103573,0.00025244860200201124,0.1341709504427712,-0.0018747622870053512,-0.7780290189539382,LOW
0.0031594804153001915,0.00026459775326650986,0.13541014761555376,-0.0019601923371732164,-0.7776915055971937,LOW
0.0032947986844999093,0.0002769075465321654,0.1366411819724374,-0.0020463875736507595,-0.7773507295969518,LOW
0.003431342852260342,0.0002893785730813111,0.13786411538454937,-0.0021333416776837047,-0.7770067096583771,LOW
0.0035691046874039125,0.0003020114305146491,0.13907900920825497,-0.0022210483692363236,-0.7766594643406753,LOW
0.0037080760190115135,0.0003148067225569537,0.14028592429007114,-0.0023095014067653036,-0.7763090120586107,LOW
0.003848248735914232,0.0003277650588664571,0.14148492097152437,-0.0023986945869944316,-0.7759553710840056,LOW
0.003989614786189873,0.0003408870548478528,0.142676059093954,-0.0024886217446900938,-0.7755985595472231,LOW
0.004132166176664219,0.00035417333146885453,0.1438593980032613,-0.002579276752437614,-0.7752385954386325,LOW
0.004275894972417002,0.00036762451508024743,0.1450349965546054,-0.0026706535204184256,-0.7748754966100576,LOW
0.004420793296292504,0.00038124123723937186,0.14620291311704642,-0.002762745996188096,-0.7745092807762086,LOW
0.0045668533284147685,0.0003950241345369789,0.14736320557813704,-0.0028555481644552123,-0.7741399655160972,LOW
0.00471406730570736,0.0004089738484273996,0.1485159313484624,-0.002949054046861122,-0.7737675682744357,LOW
0.004862427521417619,0.00042309102506196927,0.14966114736612982,-0.0030432577017605617,-0.7733921063630199,LOW
0.0050119263246453825,0.00043737631512565084,0.15079891010120844,-0.0031381532240031492,-0.7730135969620956,LOW
0.005162556119876107,0.0004518303736768008,0.15192927556011968,-0.0032337347447157793,-0.7726320571217099,LOW
0.005314309366518357,0.0004664538599900232,0.15305229928997918,-0.0033299964310859035,-0.772247503763047,LOW
0.005467178578445614,0.0004812474374020579,0.15416803638289073,-0.0034269324861457133,-0.7718599536797478,LOW
0.005621156323542353,0.0004962117731606496,0.15527654148019285,-0.003524537148557231,-0.7714694235392157,LOW
0.005776235223254354,0.0005113475382763463,0.15637786877665882,-0.0036228046923983104,-0.7710759298839052,LOW
0.005932407952143191,0.000526655407377175,0.15747207202465047,-0.003721729426949559,-0.7706794891325984,LOW
0.006089667237444874,0.0005421360585661452,0.15855920453822647,-0.003821305696482177,-0.7702801175816644,LOW
0.0062480058586325705,0.0005577901732815313,0.1596393191972059,-0.0039215278800467344,-0.7698778314063055,LOW
0.006407416646983406,0.0005736184361598833,0.1607124684511872,-0.004022390391262866,-0.7694726466617889,LOW
0.00656789248514926,0.0005896215349017201,0.1617787043235237,-0.004123887678109915,-0.7690645792846639,LOW
0.006729426306731543,0.0006058001601398573,0.1628380784152557,-0.004226014222718515,-0.7686536450939652,LOW
0.006892011095859904,0.0006221550053103248,0.16389064190900002,-0.004328764541163113,-0.7682398597924027,LOW
